Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls/90,Ast/90,G+A/90,G-PK/90,G+A-PK/90,xG,npxG,xA,npxG+xA,xG/90,xA/90,xG+xA/90,npxG/90,npxG+xA/90,Reference,Scouting Report 1,Scouting Report 2,Scouting Report 3,Scouting Report 4,Scouting Report 5,Scouting Report 6,Scouting Report 7,Scouting Report 8
José Luis Gayà,es ESP,DF,Valencia,26.0,1995.0,24,22,1871,20.8,2,4,2,0,0,8,2,0.1,0.19,0.29,0.1,0.29,1.0,1.0,2.2,3.1,0.05,0.1,0.15,0.05,0.15,https://fbref.com/en/players/b05e2dbd/,https://fbref.com/en/players/b05e2dbd/scout/365_euro/Jose-Luis-Gaya-Scouting-Report,https://fbref.com/en/players/b05e2dbd/scout/11174/Jose-Luis-Gaya-Scouting-Report,https://fbref.com/en/players/b05e2dbd/scout/10731/Jose-Luis-Gaya-Scouting-Report,https://fbref.com/en/players/b05e2dbd/scout/3239/Jose-Luis-Gaya-Scouting-Report,https://fbref.com/en/players/b05e2dbd/scout/1886/Jose-Luis-Gaya-Scouting-Report,https://fbref.com/en/players/b05e2dbd/scout/1652/Jose-Luis-Gaya-Scouting-Report,,
José Luis Morales,es ESP,FWMF,Levante,34.0,1987.0,35,31,2719,30.2,13,7,10,3,5,7,0,0.43,0.23,0.66,0.33,0.56,14.4,10.6,6.9,17.5,0.48,0.23,0.71,0.35,0.58,https://fbref.com/en/players/4a478107/,https://fbref.com/en/players/4a478107/scout/365_euro/Jose-Luis-Morales-Scouting-Report,https://fbref.com/en/players/4a478107/scout/11174/Jose-Luis-Morales-Scouting-Report,https://fbref.com/en/players/4a478107/scout/10731/Jose-Luis-Morales-Scouting-Report,https://fbref.com/en/players/4a478107/scout/3239/Jose-Luis-Morales-Scouting-Report,https://fbref.com/en/players/4a478107/scout/1886/Jose-Luis-Morales-Scouting-Report,https://fbref.com/en/players/4a478107/scout/1652/Jose-Luis-Morales-Scouting-Report,,
Florentino Luís,pt POR,MF,Getafe,21.0,1999.0,22,9,992,11.0,0,1,0,0,0,2,0,0.0,0.09,0.09,0.0,0.09,0.1,0.1,0.3,0.3,0.01,0.03,0.03,0.01,0.03,https://fbref.com/en/players/881cd6be/,https://fbref.com/en/players/881cd6be/scout/365_euro/Florentino-Luis-Scouting-Report,https://fbref.com/en/players/881cd6be/scout/11174/Florentino-Luis-Scouting-Report,,,,,,
Luismi,es ESP,FW,Sevilla,20.0,2001.0,2,0,13,0.1,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,https://fbref.com/en/players/acf5410c/,https://fbref.com/en/players/acf5410c/all_comps/Luismi-Stats---All-Competitions,https://fbref.com/en/players/acf5410c/dom_lg/Luismi-Domestic-League-Stats,https://fbref.com/en/players/acf5410c/dom_cup/Luismi-Domestic-Cup-Stats,https://fbref.com/en/players/acf5410c/intl_cup/Luismi-International-Cup-Stats,,,,
Andriy Lunin,ua UKR,GK,Real Madrid,22.0,1999.0,2,2,180,2.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,https://fbref.com/en/players/3061e1ec/,https://fbref.com/en/players/3061e1ec/matchlogs/2018-2019/misc/Andriy-Lunin-Match-Logs,https://fbref.com/en/players/3061e1ec/matchlogs/2021-2022/misc/Andriy-Lunin-Match-Logs,,,,,,
Darwin Machís,ve VEN,MFFW,Granada,28.0,1993.0,25,16,1376,15.3,4,2,4,0,0,2,0,0.26,0.13,0.39,0.26,0.39,1.7,1.7,2.6,4.4,0.11,0.17,0.29,0.11,0.29,https://fbref.com/en/players/ed6ea4d9/,https://fbref.com/en/players/ed6ea4d9/scout/365_euro/Darwin-Machis-Scouting-Report,https://fbref.com/en/players/ed6ea4d9/scout/11174/Darwin-Machis-Scouting-Report,https://fbref.com/en/players/ed6ea4d9/scout/10731/Darwin-Machis-Scouting-Report,https://fbref.com/en/players/ed6ea4d9/scout/3239/Darwin-Machis-Scouting-Report,https://fbref.com/en/players/ed6ea4d9/scout/1896/Darwin-Machis-Scouting-Report,,,
Pablo Maffeo,es ESP,DF,Mallorca,24.0,1997.0,35,35,2945,32.7,1,4,1,0,0,10,0,0.03,0.12,0.15,0.03,0.15,1.7,1.7,2.4,4.1,0.05,0.07,0.12,0.05,0.12,https://fbref.com/en/players/5db04597/,https://fbref.com/en/players/5db04597/scout/365_euro/Pablo-Maffeo-Scouting-Report,https://fbref.com/en/players/5db04597/scout/11174/Pablo-Maffeo-Scouting-Report,https://fbref.com/en/players/5db04597/scout/10731/Pablo-Maffeo-Scouting-Report,https://fbref.com/en/players/5db04597/scout/2109/Pablo-Maffeo-Scouting-Report,https://fbref.com/en/players/5db04597/scout/1652/Pablo-Maffeo-Scouting-Report,,,
Nemanja Maksimović,rs SRB,MF,Getafe,26.0,1995.0,35,34,2936,32.6,1,2,1,0,0,5,0,0.03,0.06,0.09,0.03,0.09,2.5,2.5,0.7,3.2,0.08,0.02,0.1,0.08,0.1,https://fbref.com/en/players/00b28772/,https://fbref.com/en/players/00b28772/scout/365_euro/Nemanja-Maksimovic-Scouting-Report,https://fbref.com/en/players/00b28772/scout/11174/Nemanja-Maksimovic-Scouting-Report,https://fbref.com/en/players/00b28772/scout/10731/Nemanja-Maksimovic-Scouting-Report,https://fbref.com/en/players/00b28772/scout/3239/Nemanja-Maksimovic-Scouting-Report,https://fbref.com/en/players/00b28772/scout/1886/Nemanja-Maksimovic-Scouting-Report,https://fbref.com/en/players/00b28772/scout/1652/Nemanja-Maksimovic-Scouting-Report,,
Hugo Mallo,es ESP,DF,Celta Vigo,30.0,1991.0,21,21,1826,20.3,1,1,1,0,0,5,2,0.05,0.05,0.1,0.05,0.1,1.4,1.4,1.7,3.1,0.07,0.08,0.16,0.07,0.16,https://fbref.com/en/players/cb574619/,https://fbref.com/en/players/cb574619/scout/365_euro/Hugo-Mallo-Scouting-Report,https://fbref.com/en/players/cb574619/scout/11174/Hugo-Mallo-Scouting-Report,https://fbref.com/en/players/cb574619/scout/10731/Hugo-Mallo-Scouting-Report,https://fbref.com/en/players/cb574619/scout/3239/Hugo-Mallo-Scouting-Report,https://fbref.com/en/players/cb574619/scout/1886/Hugo-Mallo-Scouting-Report,https://fbref.com/en/players/cb574619/scout/1652/Hugo-Mallo-Scouting-Report,,
Mickael Malsa,mq MTQ,MF,Levante,25.0,1995.0,26,11,1143,12.7,1,2,1,0,0,7,0,0.08,0.16,0.24,0.08,0.24,1.0,1.0,0.9,1.9,0.08,0.07,0.15,0.08,0.15,https://fbref.com/en/players/bbc19252/,https://fbref.com/en/players/bbc19252/scout/365_euro/Mickael-Malsa-Scouting-Report,https://fbref.com/en/players/bbc19252/scout/11174/Mickael-Malsa-Scouting-Report,https://fbref.com/en/players/bbc19252/scout/10731/Mickael-Malsa-Scouting-Report,,,,,
