Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls/90,Ast/90,G+A/90,G-PK/90,G+A-PK/90,xG,npxG,xA,npxG+xA,xG/90,xA/90,xG+xA/90,npxG/90,npxG+xA/90,Reference
Marvelous Nakamba,ZIM,MF,Aston Villa,28-112,1994,14,9,820,9.1,0,0,0,0,0,4,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.01,0.01,0.0,0.01,https://fbref.com/en/players/de5b5570/
Wilfred Ndidi,NGA,MFDF,Leicester City,25-146,1996,19,18,1618,18.0,0,0,0,0,0,4,0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.06,0.0,0.06,0.06,0.06,https://fbref.com/en/players/6b47c5db/
Tanguy Ndombele,FRA,MF,Tottenham,25-134,1996,9,6,484,5.4,1,1,1,0,0,1,0,0.19,0.19,0.37,0.19,0.37,0.5,0.5,0.4,0.9,0.09,0.07,0.16,0.09,0.16,https://fbref.com/en/players/5cdddffa/
Reiss Nelson,ENG,FW,Arsenal,22-152,1999,1,0,20,0.2,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.16,0.18,0.35,0.16,0.35,https://fbref.com/en/players/c5bdb6e3/
Pedro Neto,POR,FWMF,Wolves,22-063,2000,10,2,300,3.3,0,0,0,0,0,3,0,0.0,0.0,0.0,0.0,0.0,0.7,0.7,0.7,1.4,0.2,0.21,0.41,0.2,0.41,https://fbref.com/en/players/7ba2eaa9/
Rúben Neves,POR,MF,Wolves,25-059,1997,30,28,2391,26.6,4,2,4,0,0,9,0,0.15,0.08,0.23,0.15,0.23,1.2,1.2,2.1,3.2,0.04,0.08,0.12,0.04,0.12,https://fbref.com/en/players/44bfb6c5/
Jeremy Ngakia,ENG,DF,Watford,21-246,2000,14,7,723,8.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.3,0.4,0.01,0.04,0.05,0.01,0.05,https://fbref.com/en/players/3631ad41/
Saúl Ñíguez,ESP,DFMF,Chelsea,27-171,1994,9,4,390,4.3,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.3,0.5,0.03,0.07,0.11,0.03,0.11,https://fbref.com/en/players/c14bc029/
Eddie Nketiah,ENG,FW,Arsenal,22-346,1999,18,5,607,6.7,4,1,4,0,0,2,0,0.59,0.15,0.74,0.59,0.74,4.4,4.4,1.3,5.7,0.65,0.19,0.84,0.65,0.84,https://fbref.com/en/players/a53649b7/
Nicolas Nkoulou,CMR,DF,Watford,32-045,1990,3,2,168,1.9,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.0,0.01,https://fbref.com/en/players/93cf32a8/
