Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls/90,Ast/90,G+A/90,G-PK/90,G+A-PK/90,xG,npxG,xA,npxG+xA,xG/90,xA/90,xG+xA/90,npxG/90,npxG+xA/90,Reference,Scouting Report 1,Scouting Report 2,Scouting Report 3,Scouting Report 4,Scouting Report 5,Scouting Report 6,Scouting Report 7,Scouting Report 8
Max Aarons,ENG,DF,Norwich City,22-127,2000,31,29,2611,29.0,0,1,0,0,0,7,0,0.0,0.03,0.03,0.0,0.03,0.7,0.7,1.2,1.9,0.02,0.04,0.06,0.02,0.06,https://fbref.com/en/players/774cf58b/,https://fbref.com/en/players/774cf58b/scout/365_euro/Max-Aarons-Scouting-Report,https://fbref.com/en/players/774cf58b/scout/11160/Max-Aarons-Scouting-Report,https://fbref.com/en/players/774cf58b/scout/3232/Max-Aarons-Scouting-Report,,,,,
Che Adams,SCO,FW,Southampton,25-302,1996,28,23,2002,22.2,7,3,7,0,0,0,0,0.31,0.13,0.45,0.31,0.45,6.9,6.9,2.7,9.6,0.31,0.12,0.43,0.31,0.43,https://fbref.com/en/players/f2bf1b0f/,https://fbref.com/en/players/f2bf1b0f/scout/365_euro/Che-Adams-Scouting-Report,https://fbref.com/en/players/f2bf1b0f/scout/11160/Che-Adams-Scouting-Report,https://fbref.com/en/players/f2bf1b0f/scout/10728/Che-Adams-Scouting-Report,https://fbref.com/en/players/f2bf1b0f/scout/3232/Che-Adams-Scouting-Report,,,,
Rayan Aït Nouri,FRA,DF,Wolves,20-339,2001,20,17,1558,17.3,0,2,0,0,0,4,0,0.0,0.12,0.12,0.0,0.12,0.6,0.6,1.2,1.8,0.03,0.07,0.1,0.03,0.1,https://fbref.com/en/players/9b398aea/,https://fbref.com/en/players/9b398aea/scout/365_euro/Rayan-Ait-Nouri-Scouting-Report,https://fbref.com/en/players/9b398aea/scout/11160/Rayan-Ait-Nouri-Scouting-Report,https://fbref.com/en/players/9b398aea/scout/10728/Rayan-Ait-Nouri-Scouting-Report,https://fbref.com/en/players/9b398aea/scout/3243/Rayan-Ait-Nouri-Scouting-Report,,,,
Kristoffer Ajer,NOR,DF,Brentford,24-024,1998,22,21,1847,20.5,1,3,1,0,0,4,0,0.05,0.15,0.19,0.05,0.19,0.8,0.8,1.4,2.2,0.04,0.07,0.11,0.04,0.11,https://fbref.com/en/players/a8c0acb7/,https://fbref.com/en/players/a8c0acb7/scout/365_euro/Kristoffer-Ajer-Scouting-Report,https://fbref.com/en/players/a8c0acb7/scout/11160/Kristoffer-Ajer-Scouting-Report,,,,,,
Nathan Aké,NED,DF,Manchester City,27-082,1995,13,10,893,9.9,2,0,2,0,0,0,0,0.2,0.0,0.2,0.2,0.2,1.2,1.2,0.5,1.7,0.12,0.05,0.17,0.12,0.17,https://fbref.com/en/players/eaeca114/,https://fbref.com/en/players/eaeca114/scout/365_euro/Nathan-Ake-Scouting-Report,https://fbref.com/en/players/eaeca114/scout/11160/Nathan-Ake-Scouting-Report,https://fbref.com/en/players/eaeca114/scout/10728/Nathan-Ake-Scouting-Report,https://fbref.com/en/players/eaeca114/scout/3232/Nathan-Ake-Scouting-Report,https://fbref.com/en/players/eaeca114/scout/1889/Nathan-Ake-Scouting-Report,https://fbref.com/en/players/eaeca114/scout/1631/Nathan-Ake-Scouting-Report,,
Marc Albrighton,ENG,FWDF,Leicester City,32-174,1989,16,11,1087,12.1,1,1,1,0,0,3,0,0.08,0.08,0.17,0.08,0.17,0.5,0.5,1.3,1.8,0.04,0.11,0.15,0.04,0.15,https://fbref.com/en/players/b827d5b3/,https://fbref.com/en/players/b827d5b3/scout/365_euro/Marc-Albrighton-Scouting-Report,https://fbref.com/en/players/b827d5b3/scout/11160/Marc-Albrighton-Scouting-Report,https://fbref.com/en/players/b827d5b3/scout/10728/Marc-Albrighton-Scouting-Report,https://fbref.com/en/players/b827d5b3/scout/3232/Marc-Albrighton-Scouting-Report,https://fbref.com/en/players/b827d5b3/scout/1889/Marc-Albrighton-Scouting-Report,https://fbref.com/en/players/b827d5b3/scout/1631/Marc-Albrighton-Scouting-Report,,
Thiago Alcántara,ESP,MF,Liverpool,31-030,1991,24,16,1489,16.5,1,3,1,0,0,2,0,0.06,0.18,0.24,0.06,0.24,1.8,1.8,2.0,3.9,0.11,0.12,0.23,0.11,0.23,https://fbref.com/en/players/77e84962/,https://fbref.com/en/players/77e84962/scout/365_euro/Thiago-Alcantara-Scouting-Report,https://fbref.com/en/players/77e84962/scout/11160/Thiago-Alcantara-Scouting-Report,https://fbref.com/en/players/77e84962/scout/10728/Thiago-Alcantara-Scouting-Report,https://fbref.com/en/players/77e84962/scout/3248/Thiago-Alcantara-Scouting-Report,https://fbref.com/en/players/77e84962/scout/2109/Thiago-Alcantara-Scouting-Report,https://fbref.com/en/players/77e84962/scout/1634/Thiago-Alcantara-Scouting-Report,,
Trent Alexander-Arnold,ENG,DF,Liverpool,23-216,1998,31,31,2763,30.7,2,12,2,0,0,2,0,0.07,0.39,0.46,0.07,0.46,2.5,2.5,10.5,13.1,0.08,0.34,0.43,0.08,0.43,https://fbref.com/en/players/cd1acf9d/,https://fbref.com/en/players/cd1acf9d/scout/365_euro/Trent-Alexander-Arnold-Scouting-Report,https://fbref.com/en/players/cd1acf9d/scout/11160/Trent-Alexander-Arnold-Scouting-Report,https://fbref.com/en/players/cd1acf9d/scout/10728/Trent-Alexander-Arnold-Scouting-Report,https://fbref.com/en/players/cd1acf9d/scout/3232/Trent-Alexander-Arnold-Scouting-Report,https://fbref.com/en/players/cd1acf9d/scout/1889/Trent-Alexander-Arnold-Scouting-Report,https://fbref.com/en/players/cd1acf9d/scout/1631/Trent-Alexander-Arnold-Scouting-Report,,
Alisson,BRA,GK,Liverpool,29-221,1992,34,34,3060,34.0,0,1,0,0,0,0,0,0.0,0.03,0.03,0.0,0.03,0.0,0.0,0.4,0.4,0.0,0.01,0.01,0.0,0.01,https://fbref.com/en/players/7a2e46a8/,https://fbref.com/en/players/7a2e46a8/scout/365_euro/Alisson-Scouting-Report,https://fbref.com/en/players/7a2e46a8/scout/11160/Alisson-Scouting-Report,https://fbref.com/en/players/7a2e46a8/scout/10728/Alisson-Scouting-Report,https://fbref.com/en/players/7a2e46a8/scout/3232/Alisson-Scouting-Report,https://fbref.com/en/players/7a2e46a8/scout/1889/Alisson-Scouting-Report,https://fbref.com/en/players/7a2e46a8/scout/1640/Alisson-Scouting-Report,,
Allan,BRA,MF,Everton,31-123,1991,27,25,2173,24.1,0,2,0,0,0,7,1,0.0,0.08,0.08,0.0,0.08,0.2,0.2,0.9,1.1,0.01,0.04,0.04,0.01,0.04,https://fbref.com/en/players/cc700722/,https://fbref.com/en/players/cc700722/scout/365_euro/Allan-Scouting-Report,https://fbref.com/en/players/cc700722/scout/11160/Allan-Scouting-Report,https://fbref.com/en/players/cc700722/scout/10728/Allan-Scouting-Report,https://fbref.com/en/players/cc700722/scout/3260/Allan-Scouting-Report,https://fbref.com/en/players/cc700722/scout/1896/Allan-Scouting-Report,https://fbref.com/en/players/cc700722/scout/1640/Allan-Scouting-Report,,
