Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls/90,Ast/90,G+A/90,G-PK/90,G+A-PK/90,xG,npxG,xA,npxG+xA,xG/90,xA/90,xG+xA/90,npxG/90,npxG+xA/90,Reference,Scouting Report 1,Scouting Report 2,Scouting Report 3,Scouting Report 4,Scouting Report 5,Scouting Report 6,Scouting Report 7
Maghnes Akliouche,FRA,MFFW,Monaco,19,2002,7,0,54,0.6,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.1,0.2,0.29,0.09,0.38,0.29,0.38,https://fbref.com/en/players/b625b241/,https://fbref.com/en/players/b625b241/all_comps/Maghnes-Akliouche-Stats---All-Competitions,https://fbref.com/en/players/b625b241/dom_lg/Maghnes-Akliouche-Domestic-League-Stats,https://fbref.com/en/players/b625b241/dom_cup/Maghnes-Akliouche-Domestic-Cup-Stats,,,,
Sofiane Alakouch,MAR,DFMF,Metz,23,1998,4,0,158,1.8,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.02,0.01,0.02,https://fbref.com/en/players/5314e067/,https://fbref.com/en/players/5314e067/scout/10732/Sofiane-Alakouch-Scouting-Report,https://fbref.com/en/players/5314e067/scout/3243/Sofiane-Alakouch-Scouting-Report,https://fbref.com/en/players/5314e067/scout/2104/Sofiane-Alakouch-Scouting-Report,,,,
Josué Albert,GUF,DF,Clermont Foot,29,1992,2,0,22,0.2,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19,0.0,0.19,0.19,0.19,https://fbref.com/en/players/3d738df0/,https://fbref.com/en/players/3d738df0/all_comps/Josue-Albert-Stats---All-Competitions,https://fbref.com/en/players/3d738df0/dom_lg/Josue-Albert-Domestic-League-Stats,https://fbref.com/en/players/3d738df0/dom_cup/Josue-Albert-Domestic-Cup-Stats,,,,
Doğan Alemdar,TUR,GK,Rennes,18,2002,12,12,1080,12.0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,https://fbref.com/en/players/9e17ccff/,https://fbref.com/en/players/9e17ccff/scout/365_euro/Dogan-Alemdar-Scouting-Report,https://fbref.com/en/players/9e17ccff/scout/11183/Dogan-Alemdar-Scouting-Report,,,,,
Mohamed Ali Cho,FRA,FW,Angers,17,2004,32,21,1837,20.4,4,1,4,0,0,6,2,0.2,0.05,0.24,0.2,0.24,7.0,7.0,2.5,9.5,0.34,0.12,0.47,0.34,0.47,https://fbref.com/en/players/f8405304/,https://fbref.com/en/players/f8405304/scout/365_euro/Mohamed-Ali-Cho-Scouting-Report,https://fbref.com/en/players/f8405304/scout/11183/Mohamed-Ali-Cho-Scouting-Report,,,,,
Jim Allevinah,GAB,FW,Clermont Foot,26,1995,30,13,1488,16.5,1,2,1,0,0,1,0,0.06,0.12,0.18,0.06,0.18,3.4,3.4,1.7,5.1,0.2,0.1,0.31,0.2,0.31,https://fbref.com/en/players/1956b948/,https://fbref.com/en/players/1956b948/scout/365_euro/Jim-Allevinah-Scouting-Report,https://fbref.com/en/players/1956b948/scout/11183/Jim-Allevinah-Scouting-Report,,,,,
Ibrahim Amadou,FRA,DFMF,Metz,28,1993,10,10,812,9.0,1,0,1,0,0,4,0,0.11,0.0,0.11,0.11,0.11,0.3,0.3,0.0,0.4,0.04,0.01,0.04,0.04,0.04,https://fbref.com/en/players/9260926b/,https://fbref.com/en/players/9260926b/matchlogs/2017-2018/keeper/Ibrahim-Amadou-Match-Logs,,,,,,
Jordan Amavi,FRA,DF,Nice,27,1994,8,4,413,4.6,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.02,0.02,0.0,0.02,https://fbref.com/en/players/22721b88/,https://fbref.com/en/players/22721b88/scout/365_euro/Jordan-Amavi-Scouting-Report,https://fbref.com/en/players/22721b88/scout/11183/Jordan-Amavi-Scouting-Report,https://fbref.com/en/players/22721b88/scout/10732/Jordan-Amavi-Scouting-Report,https://fbref.com/en/players/22721b88/scout/3243/Jordan-Amavi-Scouting-Report,https://fbref.com/en/players/22721b88/scout/2104/Jordan-Amavi-Scouting-Report,https://fbref.com/en/players/22721b88/scout/1632/Jordan-Amavi-Scouting-Report,
Jordan Amavi,FRA,DF,Marseille,27,1994,2,2,128,1.4,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.07,0.07,0.0,0.07,https://fbref.com/en/players/22721b88/,https://fbref.com/en/players/22721b88/scout/365_euro/Jordan-Amavi-Scouting-Report,https://fbref.com/en/players/22721b88/scout/11183/Jordan-Amavi-Scouting-Report,https://fbref.com/en/players/22721b88/scout/10732/Jordan-Amavi-Scouting-Report,https://fbref.com/en/players/22721b88/scout/3243/Jordan-Amavi-Scouting-Report,https://fbref.com/en/players/22721b88/scout/2104/Jordan-Amavi-Scouting-Report,https://fbref.com/en/players/22721b88/scout/1632/Jordan-Amavi-Scouting-Report,
Benjamin André,FRA,MF,Lille,30,1990,33,33,2752,30.6,2,1,2,0,0,12,1,0.07,0.03,0.1,0.07,0.1,1.6,1.6,1.8,3.4,0.05,0.06,0.11,0.05,0.11,https://fbref.com/en/players/ef9c1c95/,https://fbref.com/en/players/ef9c1c95/scout/365_euro/Benjamin-Andre-Scouting-Report,https://fbref.com/en/players/ef9c1c95/scout/11183/Benjamin-Andre-Scouting-Report,https://fbref.com/en/players/ef9c1c95/scout/10732/Benjamin-Andre-Scouting-Report,https://fbref.com/en/players/ef9c1c95/scout/3243/Benjamin-Andre-Scouting-Report,https://fbref.com/en/players/ef9c1c95/scout/2104/Benjamin-Andre-Scouting-Report,https://fbref.com/en/players/ef9c1c95/scout/1632/Benjamin-Andre-Scouting-Report,
