Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls/90,Ast/90,G+A/90,G-PK/90,G+A-PK/90,xG,npxG,xA,npxG+xA,xG/90,xA/90,xG+xA/90,npxG/90,npxG+xA/90,Reference,Scouting Report 1,Scouting Report 2,Scouting Report 3,Scouting Report 4,Scouting Report 5,Scouting Report 6,Scouting Report 7,Scouting Report 8,Scouting Report 9
Emil Ceide,NOR,FWDF,Sassuolo,19,2001,6,0,53,0.6,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,https://fbref.com/en/players/98a84572/,https://fbref.com/en/players/98a84572/all_comps/Emil-Ceide-Stats---All-Competitions,https://fbref.com/en/players/98a84572/dom_lg/Emil-Ceide-Domestic-League-Stats,https://fbref.com/en/players/98a84572/dom_cup/Emil-Ceide-Domestic-Cup-Stats,https://fbref.com/en/players/98a84572/intl_cup/Emil-Ceide-International-Cup-Stats,,,,,
Luca Ceppitelli,ITA,DF,Cagliari,31,1989,24,16,1445,16.1,1,1,1,0,0,3,0,0.06,0.06,0.12,0.06,0.12,0.6,0.6,0.0,0.6,0.04,0.0,0.04,0.04,0.04,https://fbref.com/en/players/7d50454d/,https://fbref.com/en/players/7d50454d/scout/365_euro/Luca-Ceppitelli-Scouting-Report,https://fbref.com/en/players/7d50454d/scout/11222/Luca-Ceppitelli-Scouting-Report,https://fbref.com/en/players/7d50454d/scout/10730/Luca-Ceppitelli-Scouting-Report,https://fbref.com/en/players/7d50454d/scout/3260/Luca-Ceppitelli-Scouting-Report,https://fbref.com/en/players/7d50454d/scout/1896/Luca-Ceppitelli-Scouting-Report,https://fbref.com/en/players/7d50454d/scout/1640/Luca-Ceppitelli-Scouting-Report,,,
Damir Ceter,COL,FW,Cagliari,23,1997,1,0,6,0.1,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,https://fbref.com/en/players/eade5337/,https://fbref.com/en/players/eade5337/all_comps/Damir-Ceter-Stats---All-Competitions,https://fbref.com/en/players/eade5337/dom_lg/Damir-Ceter-Domestic-League-Stats,https://fbref.com/en/players/eade5337/dom_cup/Damir-Ceter-Domestic-Cup-Stats,https://fbref.com/en/players/eade5337/intl_cup/Damir-Ceter-International-Cup-Stats,,,,,
Julian Chabot,GER,DF,Sampdoria,23,1998,11,4,490,5.4,0,0,0,0,0,5,0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.1,0.02,0.0,0.02,0.02,0.02,https://fbref.com/en/players/ae7058f9/,https://fbref.com/en/players/ae7058f9/scout/365_euro/Julian-Chabot-Scouting-Report,https://fbref.com/en/players/ae7058f9/scout/11222/Julian-Chabot-Scouting-Report,https://fbref.com/en/players/ae7058f9/scout/10730/Julian-Chabot-Scouting-Report,https://fbref.com/en/players/ae7058f9/scout/3260/Julian-Chabot-Scouting-Report,,,,,
Giorgio Chiellini,ITA,DF,Juventus,36,1984,21,16,1354,15.0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0,0.6,0.6,0.3,0.9,0.04,0.02,0.06,0.04,0.06,https://fbref.com/en/players/e85fb9b8/,https://fbref.com/en/players/e85fb9b8/scout/365_euro/Giorgio-Chiellini-Scouting-Report,https://fbref.com/en/players/e85fb9b8/scout/11222/Giorgio-Chiellini-Scouting-Report,https://fbref.com/en/players/e85fb9b8/scout/10730/Giorgio-Chiellini-Scouting-Report,https://fbref.com/en/players/e85fb9b8/scout/1896/Giorgio-Chiellini-Scouting-Report,https://fbref.com/en/players/e85fb9b8/scout/1640/Giorgio-Chiellini-Scouting-Report,,,,
Federico Chiesa,ITA,MFFW,Juventus,23,1997,14,11,863,9.6,2,2,2,0,0,0,0,0.21,0.21,0.42,0.21,0.42,2.3,2.3,1.2,3.5,0.24,0.12,0.37,0.24,0.37,https://fbref.com/en/players/b0f7e36c/,https://fbref.com/en/players/b0f7e36c/scout/365_euro/Federico-Chiesa-Scouting-Report,https://fbref.com/en/players/b0f7e36c/scout/11222/Federico-Chiesa-Scouting-Report,https://fbref.com/en/players/b0f7e36c/scout/10730/Federico-Chiesa-Scouting-Report,https://fbref.com/en/players/b0f7e36c/scout/3260/Federico-Chiesa-Scouting-Report,https://fbref.com/en/players/b0f7e36c/scout/1896/Federico-Chiesa-Scouting-Report,https://fbref.com/en/players/b0f7e36c/scout/1640/Federico-Chiesa-Scouting-Report,,,
Vlad Chiricheș,ROU,DF,Sassuolo,31,1989,29,27,2300,25.6,0,0,0,0,0,4,0,0.0,0.0,0.0,0.0,0.0,0.7,0.7,0.1,0.7,0.03,0.0,0.03,0.03,0.03,https://fbref.com/en/players/c316607a/,https://fbref.com/en/players/c316607a/scout/365_euro/Vlad-Chiriches-Scouting-Report,https://fbref.com/en/players/c316607a/scout/11222/Vlad-Chiriches-Scouting-Report,https://fbref.com/en/players/c316607a/scout/10730/Vlad-Chiriches-Scouting-Report,https://fbref.com/en/players/c316607a/scout/3260/Vlad-Chiriches-Scouting-Report,https://fbref.com/en/players/c316607a/scout/1640/Vlad-Chiriches-Scouting-Report,,,,
Riccardo Ciervo,ITA,MFDF,Sampdoria,19,2002,10,1,227,2.5,0,1,0,0,0,0,0,0.0,0.4,0.4,0.0,0.4,0.1,0.1,0.2,0.4,0.05,0.09,0.14,0.05,0.14,https://fbref.com/en/players/da77b60b/,https://fbref.com/en/players/da77b60b/all_comps/Riccardo-Ciervo-Stats---All-Competitions,https://fbref.com/en/players/da77b60b/dom_lg/Riccardo-Ciervo-Domestic-League-Stats,https://fbref.com/en/players/da77b60b/dom_cup/Riccardo-Ciervo-Domestic-Cup-Stats,,,,,,
Moustapha Cissé,GUI,FW,Atalanta,17,2003,3,0,38,0.4,1,0,1,0,0,0,0,2.37,0.0,2.37,2.37,2.37,0.5,0.5,0.0,0.5,1.21,0.0,1.21,1.21,1.21,https://fbref.com/en/players/ee3c4b3f/,https://fbref.com/en/players/ee3c4b3f/matchlogs/2021-2022/passing/Moustapha-Cisse-Match-Logs,,,,,,,,
Giorgio Cittadini,ITA,DF,Atalanta,19,2002,2,0,4,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,https://fbref.com/en/players/e4ba67f2/,https://fbref.com/en/players/e4ba67f2/all_comps/Giorgio-Cittadini-Stats---All-Competitions,https://fbref.com/en/players/e4ba67f2/dom_lg/Giorgio-Cittadini-Domestic-League-Stats,https://fbref.com/en/players/e4ba67f2/intl_cup/Giorgio-Cittadini-International-Cup-Stats,,,,,,
Ebrima Colley,GAM,FWMF,Spezia,21,2000,11,3,394,4.4,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.7,0.7,1.6,2.2,0.16,0.35,0.51,0.16,0.51,https://fbref.com/en/players/bf356094/,https://fbref.com/en/players/bf356094/scout/10730/Ebrima-Colley-Scouting-Report,,,,,,,,
Omar Colley,GAM,DF,Sampdoria,28,1992,32,31,2745,30.5,0,0,0,0,0,6,1,0.0,0.0,0.0,0.0,0.0,1.4,1.4,0.0,1.4,0.05,0.0,0.05,0.05,0.05,https://fbref.com/en/players/8b95acda/,https://fbref.com/en/players/8b95acda/scout/365_euro/Omar-Colley-Scouting-Report,https://fbref.com/en/players/8b95acda/scout/11222/Omar-Colley-Scouting-Report,https://fbref.com/en/players/8b95acda/scout/10730/Omar-Colley-Scouting-Report,https://fbref.com/en/players/8b95acda/scout/3260/Omar-Colley-Scouting-Report,https://fbref.com/en/players/8b95acda/scout/1896/Omar-Colley-Scouting-Report,,,,
Andrea Consigli,ITA,GK,Sassuolo,34,1987,37,37,3322,36.9,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.0,0.0,0.0,0.0,https://fbref.com/en/players/8cabdc1e/,https://fbref.com/en/players/8cabdc1e/scout/365_euro/Andrea-Consigli-Scouting-Report,https://fbref.com/en/players/8cabdc1e/scout/11222/Andrea-Consigli-Scouting-Report,https://fbref.com/en/players/8cabdc1e/scout/10730/Andrea-Consigli-Scouting-Report,https://fbref.com/en/players/8cabdc1e/scout/3260/Andrea-Consigli-Scouting-Report,https://fbref.com/en/players/8cabdc1e/scout/1896/Andrea-Consigli-Scouting-Report,https://fbref.com/en/players/8cabdc1e/scout/1640/Andrea-Consigli-Scouting-Report,,,
Andrea Conti,ITA,DFMF,Sampdoria,27,1994,7,2,234,2.6,1,0,1,0,0,1,0,0.38,0.0,0.38,0.38,0.38,0.3,0.3,0.0,0.3,0.12,0.0,0.12,0.12,0.12,https://fbref.com/en/players/8fef5412/,https://fbref.com/en/players/8fef5412/scout/10730/Andrea-Conti-Scouting-Report,https://fbref.com/en/players/8fef5412/scout/3260/Andrea-Conti-Scouting-Report,https://fbref.com/en/players/8fef5412/scout/1896/Andrea-Conti-Scouting-Report,,,,,,
Andrea Conti,ITA,DF,Milan,27,1994,1,0,13,0.1,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,https://fbref.com/en/players/8fef5412/,https://fbref.com/en/players/8fef5412/scout/10730/Andrea-Conti-Scouting-Report,https://fbref.com/en/players/8fef5412/scout/3260/Andrea-Conti-Scouting-Report,https://fbref.com/en/players/8fef5412/scout/1896/Andrea-Conti-Scouting-Report,,,,,,
Diego Coppola,ITA,DF,Hellas Verona,17,2003,4,3,249,2.8,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.1,0.02,0.0,0.02,0.02,0.02,https://fbref.com/en/players/22ae86f9/,https://fbref.com/en/players/22ae86f9/all_comps/Diego-Coppola-Stats---All-Competitions,https://fbref.com/en/players/22ae86f9/dom_lg/Diego-Coppola-Domestic-League-Stats,https://fbref.com/en/players/22ae86f9/dom_cup/Diego-Coppola-Domestic-Cup-Stats,,,,,,
Joaquín Correa,ARG,FW,Inter,26,1994,26,12,1025,11.4,6,1,6,0,0,2,0,0.53,0.09,0.61,0.53,0.61,4.8,4.8,2.0,6.7,0.42,0.17,0.59,0.42,0.59,https://fbref.com/en/players/45b9b619/,https://fbref.com/en/players/45b9b619/scout/365_euro/Joaquin-Correa-Scouting-Report,https://fbref.com/en/players/45b9b619/scout/11222/Joaquin-Correa-Scouting-Report,https://fbref.com/en/players/45b9b619/scout/10730/Joaquin-Correa-Scouting-Report,https://fbref.com/en/players/45b9b619/scout/3260/Joaquin-Correa-Scouting-Report,https://fbref.com/en/players/45b9b619/scout/1896/Joaquin-Correa-Scouting-Report,https://fbref.com/en/players/45b9b619/scout/1652/Joaquin-Correa-Scouting-Report,,,
Lassana Coulibaly,MLI,MF,Salernitana,25,1996,31,29,2332,25.9,0,0,0,0,0,3,0,0.0,0.0,0.0,0.0,0.0,0.9,0.9,0.3,1.3,0.04,0.01,0.05,0.04,0.05,https://fbref.com/en/players/85a44ecc/,https://fbref.com/en/players/85a44ecc/scout/365_euro/Lassana-Coulibaly-Scouting-Report,https://fbref.com/en/players/85a44ecc/scout/11222/Lassana-Coulibaly-Scouting-Report,https://fbref.com/en/players/85a44ecc/scout/10732/Lassana-Coulibaly-Scouting-Report,https://fbref.com/en/players/85a44ecc/scout/1632/Lassana-Coulibaly-Scouting-Report,,,,,
Mamadou Coulibaly,SEN,MF,Salernitana,22,1999,12,9,808,9.0,2,0,2,0,0,1,0,0.22,0.0,0.22,0.22,0.22,1.2,1.2,0.2,1.4,0.13,0.03,0.16,0.13,0.16,https://fbref.com/en/players/c976160c/,https://fbref.com/en/players/c976160c/scout/365_euro/Mamadou-Coulibaly-Scouting-Report,https://fbref.com/en/players/c976160c/scout/11222/Mamadou-Coulibaly-Scouting-Report,,,,,,,
Alessio Cragno,ITA,GK,Cagliari,27,1994,35,35,3150,35.0,0,0,0,0,0,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,https://fbref.com/en/players/f554e29b/,https://fbref.com/en/players/f554e29b/scout/365_euro/Alessio-Cragno-Scouting-Report,https://fbref.com/en/players/f554e29b/scout/11222/Alessio-Cragno-Scouting-Report,https://fbref.com/en/players/f554e29b/scout/10730/Alessio-Cragno-Scouting-Report,https://fbref.com/en/players/f554e29b/scout/3260/Alessio-Cragno-Scouting-Report,https://fbref.com/en/players/f554e29b/scout/1896/Alessio-Cragno-Scouting-Report,https://fbref.com/en/players/f554e29b/scout/1640/Alessio-Cragno-Scouting-Report,,,
Domenico Criscito,ITA,DF,Genoa,34,1986,20,18,1618,18.0,6,1,0,6,7,4,0,0.33,0.06,0.39,0.0,0.06,5.6,0.3,0.8,1.1,0.31,0.04,0.36,0.02,0.06,https://fbref.com/en/players/35dd6d80/,https://fbref.com/en/players/35dd6d80/scout/365_euro/Domenico-Criscito-Scouting-Report,https://fbref.com/en/players/35dd6d80/scout/11222/Domenico-Criscito-Scouting-Report,https://fbref.com/en/players/35dd6d80/scout/10730/Domenico-Criscito-Scouting-Report,https://fbref.com/en/players/35dd6d80/scout/3260/Domenico-Criscito-Scouting-Report,https://fbref.com/en/players/35dd6d80/scout/1896/Domenico-Criscito-Scouting-Report,,,,
Bryan Cristante,ITA,MF,Roma,26,1995,34,29,2678,29.8,2,0,2,0,0,9,0,0.07,0.0,0.07,0.07,0.07,2.3,2.3,1.6,3.9,0.08,0.05,0.13,0.08,0.13,https://fbref.com/en/players/16657b95/,https://fbref.com/en/players/16657b95/scout/365_euro/Bryan-Cristante-Scouting-Report,https://fbref.com/en/players/16657b95/scout/11222/Bryan-Cristante-Scouting-Report,https://fbref.com/en/players/16657b95/scout/10730/Bryan-Cristante-Scouting-Report,https://fbref.com/en/players/16657b95/scout/3260/Bryan-Cristante-Scouting-Report,https://fbref.com/en/players/16657b95/scout/1896/Bryan-Cristante-Scouting-Report,https://fbref.com/en/players/16657b95/scout/1640/Bryan-Cristante-Scouting-Report,,,
Domen Črnigoj,SVN,MFDF,Venezia,25,1995,34,22,1881,20.9,3,1,3,0,0,3,0,0.14,0.05,0.19,0.14,0.19,2.3,2.3,0.9,3.2,0.11,0.04,0.15,0.11,0.15,https://fbref.com/en/players/22cd43d2/,https://fbref.com/en/players/22cd43d2/scout/365_euro/Domen-Crnigoj-Scouting-Report,https://fbref.com/en/players/22cd43d2/scout/11222/Domen-Crnigoj-Scouting-Report,,,,,,,
Giovanni Crociata,ITA,FW,Empoli,23,1997,1,0,15,0.2,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.1,0.31,0.0,0.31,0.31,0.31,https://fbref.com/en/players/8c964914/,https://fbref.com/en/players/8c964914/all_comps/Giovanni-Crociata-Stats---All-Competitions,https://fbref.com/en/players/8c964914/dom_lg/Giovanni-Crociata-Domestic-League-Stats,https://fbref.com/en/players/8c964914/dom_cup/Giovanni-Crociata-Domestic-Cup-Stats,,,,,,
Juan Cuadrado,COL,DFMF,Juventus,33,1988,33,28,2487,27.6,4,3,4,0,0,9,0,0.14,0.11,0.25,0.14,0.25,2.0,2.0,5.0,7.0,0.07,0.18,0.25,0.07,0.25,https://fbref.com/en/players/0ab1f153/,https://fbref.com/en/players/0ab1f153/scout/365_euro/Juan-Cuadrado-Scouting-Report,https://fbref.com/en/players/0ab1f153/scout/11222/Juan-Cuadrado-Scouting-Report,https://fbref.com/en/players/0ab1f153/scout/10730/Juan-Cuadrado-Scouting-Report,https://fbref.com/en/players/0ab1f153/scout/3260/Juan-Cuadrado-Scouting-Report,https://fbref.com/en/players/0ab1f153/scout/1896/Juan-Cuadrado-Scouting-Report,https://fbref.com/en/players/0ab1f153/scout/1640/Juan-Cuadrado-Scouting-Report,,,
Mickaël Cuisance,FRA,MF,Venezia,21,1999,13,13,918,10.2,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,1.0,1.5,0.05,0.09,0.15,0.05,0.15,https://fbref.com/en/players/5722eced/,https://fbref.com/en/players/5722eced/scout/365_euro/Mickael-Cuisance-Scouting-Report,https://fbref.com/en/players/5722eced/scout/11222/Mickael-Cuisance-Scouting-Report,https://fbref.com/en/players/5722eced/scout/10732/Mickael-Cuisance-Scouting-Report,https://fbref.com/en/players/5722eced/scout/1634/Mickael-Cuisance-Scouting-Report,,,,,
Patrick Cutrone,ITA,FW,Empoli,23,1998,28,15,1401,15.6,3,0,3,0,0,1,0,0.19,0.0,0.19,0.19,0.19,4.7,4.7,0.9,5.6,0.3,0.06,0.36,0.3,0.36,https://fbref.com/en/players/a4fe8cda/,https://fbref.com/en/players/a4fe8cda/scout/365_euro/Patrick-Cutrone-Scouting-Report,https://fbref.com/en/players/a4fe8cda/scout/11222/Patrick-Cutrone-Scouting-Report,https://fbref.com/en/players/a4fe8cda/scout/3260/Patrick-Cutrone-Scouting-Report,https://fbref.com/en/players/a4fe8cda/scout/1896/Patrick-Cutrone-Scouting-Report,https://fbref.com/en/players/a4fe8cda/scout/1640/Patrick-Cutrone-Scouting-Report,,,,
Danilo D'Ambrosio,ITA,DF,Inter,32,1988,20,9,1000,11.1,1,1,1,0,0,2,0,0.09,0.09,0.18,0.09,0.18,1.9,1.9,0.1,2.0,0.17,0.01,0.18,0.17,0.18,https://fbref.com/en/players/44eb9093/,https://fbref.com/en/players/44eb9093/scout/365_euro/Danilo-DAmbrosio-Scouting-Report,https://fbref.com/en/players/44eb9093/scout/11222/Danilo-DAmbrosio-Scouting-Report,https://fbref.com/en/players/44eb9093/scout/10730/Danilo-DAmbrosio-Scouting-Report,https://fbref.com/en/players/44eb9093/scout/3260/Danilo-DAmbrosio-Scouting-Report,https://fbref.com/en/players/44eb9093/scout/1896/Danilo-DAmbrosio-Scouting-Report,https://fbref.com/en/players/44eb9093/scout/1640/Danilo-DAmbrosio-Scouting-Report,,,
Mikkel Damsgaard,DEN,MFFW,Sampdoria,21,2000,11,6,578,6.4,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.7,0.7,0.4,1.2,0.12,0.07,0.19,0.12,0.19,https://fbref.com/en/players/215f3907/,https://fbref.com/en/players/215f3907/scout/365_euro/Mikkel-Damsgaard-Scouting-Report,https://fbref.com/en/players/215f3907/scout/11222/Mikkel-Damsgaard-Scouting-Report,https://fbref.com/en/players/215f3907/scout/10730/Mikkel-Damsgaard-Scouting-Report,,,,,,
Danilo,BRA,DFMF,Juventus,30,1991,22,22,1893,21.0,1,2,1,0,0,6,0,0.05,0.1,0.14,0.05,0.14,1.2,1.2,1.2,2.4,0.06,0.06,0.11,0.06,0.11,https://fbref.com/en/players/94b2001f/,https://fbref.com/en/players/94b2001f/scout/365_euro/Danilo-Scouting-Report,https://fbref.com/en/players/94b2001f/scout/11222/Danilo-Scouting-Report,https://fbref.com/en/players/94b2001f/scout/10730/Danilo-Scouting-Report,https://fbref.com/en/players/94b2001f/scout/3260/Danilo-Scouting-Report,https://fbref.com/en/players/94b2001f/scout/1889/Danilo-Scouting-Report,https://fbref.com/en/players/94b2001f/scout/1631/Danilo-Scouting-Report,,,
Ebrima Darboe,GAM,MF,Roma,20,2001,1,1,63,0.7,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.04,0.04,0.04,https://fbref.com/en/players/cf043a33/,https://fbref.com/en/players/cf043a33/all_comps/Ebrima-Darboe-Stats---All-Competitions,https://fbref.com/en/players/cf043a33/dom_lg/Ebrima-Darboe-Domestic-League-Stats,https://fbref.com/en/players/cf043a33/intl_cup/Ebrima-Darboe-International-Cup-Stats,https://fbref.com/en/players/cf043a33/nat_tm/Ebrima-Darboe-National-Team-Stats,,,,,
Matteo Darmian,ITA,DF,Inter,31,1989,25,18,1507,16.7,2,1,2,0,0,4,0,0.12,0.06,0.18,0.12,0.18,0.9,0.9,2.2,3.1,0.05,0.13,0.19,0.05,0.19,https://fbref.com/en/players/96e0490d/,https://fbref.com/en/players/96e0490d/scout/365_euro/Matteo-Darmian-Scouting-Report,https://fbref.com/en/players/96e0490d/scout/11222/Matteo-Darmian-Scouting-Report,https://fbref.com/en/players/96e0490d/scout/10730/Matteo-Darmian-Scouting-Report,https://fbref.com/en/players/96e0490d/scout/3260/Matteo-Darmian-Scouting-Report,,,,,
Paweł Dawidowicz,POL,DF,Hellas Verona,26,1995,17,13,1198,13.3,0,0,0,0,0,3,0,0.0,0.0,0.0,0.0,0.0,0.4,0.4,0.1,0.5,0.03,0.01,0.04,0.03,0.04,https://fbref.com/en/players/16bb656a/,https://fbref.com/en/players/16bb656a/scout/365_euro/Pawel-Dawidowicz-Scouting-Report,https://fbref.com/en/players/16bb656a/scout/11222/Pawel-Dawidowicz-Scouting-Report,https://fbref.com/en/players/16bb656a/scout/10730/Pawel-Dawidowicz-Scouting-Report,https://fbref.com/en/players/16bb656a/scout/3260/Pawel-Dawidowicz-Scouting-Report,,,,,
Sebastien De Maio,FRA,DF,Udinese,34,1987,2,2,180,2.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.0,0.14,0.14,0.0,0.14,https://fbref.com/en/players/952a03fe/,https://fbref.com/en/players/952a03fe/scout/10730/Sebastien-De-Maio-Scouting-Report,https://fbref.com/en/players/952a03fe/scout/3260/Sebastien-De-Maio-Scouting-Report,https://fbref.com/en/players/952a03fe/scout/1896/Sebastien-De-Maio-Scouting-Report,https://fbref.com/en/players/952a03fe/scout/1640/Sebastien-De-Maio-Scouting-Report,,,,,
Tommaso De Nipoti,ITA,MF,Atalanta,18,2003,1,0,6,0.1,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,https://fbref.com/en/players/7f9d956a/,https://fbref.com/en/players/7f9d956a/matchlogs/2021-2022/passing/Tommaso-De-Nipoti-Match-Logs,,,,,,,,
Mattia De Sciglio,ITA,DF,Juventus,28,1992,20,13,1168,13.0,1,2,1,0,0,2,1,0.08,0.15,0.23,0.08,0.23,0.2,0.2,2.4,2.6,0.02,0.19,0.2,0.02,0.2,https://fbref.com/en/players/ae4e2852/,https://fbref.com/en/players/ae4e2852/scout/365_euro/Mattia-De-Sciglio-Scouting-Report,https://fbref.com/en/players/ae4e2852/scout/11222/Mattia-De-Sciglio-Scouting-Report,https://fbref.com/en/players/ae4e2852/scout/10732/Mattia-De-Sciglio-Scouting-Report,https://fbref.com/en/players/ae4e2852/scout/3260/Mattia-De-Sciglio-Scouting-Report,https://fbref.com/en/players/ae4e2852/scout/1896/Mattia-De-Sciglio-Scouting-Report,https://fbref.com/en/players/ae4e2852/scout/1640/Mattia-De-Sciglio-Scouting-Report,,,
Lorenzo De Silvestri,ITA,DF,Bologna,33,1988,31,27,2294,25.5,3,2,3,0,0,7,0,0.12,0.08,0.2,0.12,0.2,2.0,2.0,2.1,4.0,0.08,0.08,0.16,0.08,0.16,https://fbref.com/en/players/e74f0e59/,https://fbref.com/en/players/e74f0e59/scout/365_euro/Lorenzo-De-Silvestri-Scouting-Report,https://fbref.com/en/players/e74f0e59/scout/11222/Lorenzo-De-Silvestri-Scouting-Report,https://fbref.com/en/players/e74f0e59/scout/10730/Lorenzo-De-Silvestri-Scouting-Report,https://fbref.com/en/players/e74f0e59/scout/3260/Lorenzo-De-Silvestri-Scouting-Report,https://fbref.com/en/players/e74f0e59/scout/1896/Lorenzo-De-Silvestri-Scouting-Report,https://fbref.com/en/players/e74f0e59/scout/1640/Lorenzo-De-Silvestri-Scouting-Report,,,
Grégoire Defrel,MTQ,FW,Sassuolo,30,1991,38,11,1362,15.1,2,2,2,0,0,3,0,0.13,0.13,0.26,0.13,0.26,3.9,3.9,2.1,6.0,0.26,0.14,0.4,0.26,0.4,https://fbref.com/en/players/854ee61a/,https://fbref.com/en/players/854ee61a/scout/365_euro/Gregoire-Defrel-Scouting-Report,https://fbref.com/en/players/854ee61a/scout/11222/Gregoire-Defrel-Scouting-Report,https://fbref.com/en/players/854ee61a/scout/10730/Gregoire-Defrel-Scouting-Report,https://fbref.com/en/players/854ee61a/scout/3260/Gregoire-Defrel-Scouting-Report,https://fbref.com/en/players/854ee61a/scout/1896/Gregoire-Defrel-Scouting-Report,https://fbref.com/en/players/854ee61a/scout/1640/Gregoire-Defrel-Scouting-Report,,,
Alessandro Deiola,ITA,MF,Cagliari,25,1995,33,28,2129,23.7,4,1,4,0,0,5,0,0.17,0.04,0.21,0.17,0.21,2.3,2.3,1.3,3.6,0.1,0.06,0.15,0.1,0.15,https://fbref.com/en/players/7f267d66/,https://fbref.com/en/players/7f267d66/scout/365_euro/Alessandro-Deiola-Scouting-Report,https://fbref.com/en/players/7f267d66/scout/11222/Alessandro-Deiola-Scouting-Report,https://fbref.com/en/players/7f267d66/scout/10730/Alessandro-Deiola-Scouting-Report,https://fbref.com/en/players/7f267d66/scout/3260/Alessandro-Deiola-Scouting-Report,https://fbref.com/en/players/7f267d66/scout/1896/Alessandro-Deiola-Scouting-Report,,,,
Filippo Delli Carri,ITA,DF,Salernitana,22,1999,5,3,334,3.7,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.2,0.04,0.02,0.05,0.04,0.05,https://fbref.com/en/players/d2e8fd9b/,https://fbref.com/en/players/d2e8fd9b/all_comps/Filippo-Delli-Carri-Stats---All-Competitions,https://fbref.com/en/players/d2e8fd9b/dom_lg/Filippo-Delli-Carri-Domestic-League-Stats,https://fbref.com/en/players/d2e8fd9b/dom_cup/Filippo-Delli-Carri-Domestic-Cup-Stats,,,,,,
Merih Demiral,TUR,DF,Atalanta,23,1998,28,22,1917,21.3,1,2,1,0,0,8,0,0.05,0.09,0.14,0.05,0.14,2.2,2.2,0.0,2.2,0.1,0.0,0.1,0.1,0.1,https://fbref.com/en/players/e3cceee6/,https://fbref.com/en/players/e3cceee6/scout/365_euro/Merih-Demiral-Scouting-Report,https://fbref.com/en/players/e3cceee6/scout/11222/Merih-Demiral-Scouting-Report,https://fbref.com/en/players/e3cceee6/scout/10730/Merih-Demiral-Scouting-Report,https://fbref.com/en/players/e3cceee6/scout/1896/Merih-Demiral-Scouting-Report,,,,,
Diego Demme,GER,MF,Napoli,29,1991,19,7,692,7.7,1,0,1,0,0,4,0,0.13,0.0,0.13,0.13,0.13,0.3,0.3,0.3,0.6,0.04,0.04,0.08,0.04,0.08,https://fbref.com/en/players/dc3fa3b5/,https://fbref.com/en/players/dc3fa3b5/scout/365_euro/Diego-Demme-Scouting-Report,https://fbref.com/en/players/dc3fa3b5/scout/11222/Diego-Demme-Scouting-Report,https://fbref.com/en/players/dc3fa3b5/scout/10730/Diego-Demme-Scouting-Report,https://fbref.com/en/players/dc3fa3b5/scout/3248/Diego-Demme-Scouting-Report,https://fbref.com/en/players/dc3fa3b5/scout/3260/Diego-Demme-Scouting-Report,https://fbref.com/en/players/dc3fa3b5/scout/2109/Diego-Demme-Scouting-Report,https://fbref.com/en/players/dc3fa3b5/scout/1634/Diego-Demme-Scouting-Report,,
