Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls/90,Ast/90,G+A/90,G-PK/90,G+A-PK/90,xG,npxG,xA,npxG+xA,xG/90,xA/90,xG+xA/90,npxG/90,npxG+xA/90,Reference,Scouting Report 1,Scouting Report 2,Scouting Report 3,Scouting Report 4,Scouting Report 5,Scouting Report 6,Scouting Report 7,Scouting Report 8,Scouting Report 9
Felipe Anderson,BRA,FW,Lazio,28,1993,38,33,2888,32.1,6,8,6,0,0,2,0,0.19,0.25,0.44,0.19,0.44,5.5,5.5,6.9,12.5,0.17,0.22,0.39,0.17,0.39,https://fbref.com/en/players/9f1893b9/,https://fbref.com/en/players/9f1893b9/scout/365_euro/Felipe-Anderson-Scouting-Report,https://fbref.com/en/players/9f1893b9/scout/11222/Felipe-Anderson-Scouting-Report,https://fbref.com/en/players/9f1893b9/scout/3232/Felipe-Anderson-Scouting-Report,https://fbref.com/en/players/9f1893b9/scout/1889/Felipe-Anderson-Scouting-Report,https://fbref.com/en/players/9f1893b9/scout/1640/Felipe-Anderson-Scouting-Report,,,,
Ebenezer Annan,GHA,DF,Bologna,18,2002,1,0,25,0.3,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,https://fbref.com/en/players/39aa05a7/,https://fbref.com/en/players/39aa05a7/all_comps/Ebenezer-Annan-Stats---All-Competitions,https://fbref.com/en/players/39aa05a7/dom_lg/Ebenezer-Annan-Domestic-League-Stats,https://fbref.com/en/players/39aa05a7/dom_cup/Ebenezer-Annan-Domestic-Cup-Stats,,,,,,
Cristian Ansaldi,ARG,DF,Torino,34,1986,19,5,691,7.7,0,3,0,0,0,2,0,0.0,0.39,0.39,0.0,0.39,0.3,0.3,1.4,1.7,0.04,0.19,0.22,0.04,0.22,https://fbref.com/en/players/bbafc0c4/,https://fbref.com/en/players/bbafc0c4/scout/365_euro/Cristian-Ansaldi-Scouting-Report,https://fbref.com/en/players/bbafc0c4/scout/11222/Cristian-Ansaldi-Scouting-Report,https://fbref.com/en/players/bbafc0c4/scout/10730/Cristian-Ansaldi-Scouting-Report,https://fbref.com/en/players/bbafc0c4/scout/3260/Cristian-Ansaldi-Scouting-Report,https://fbref.com/en/players/bbafc0c4/scout/1896/Cristian-Ansaldi-Scouting-Report,https://fbref.com/en/players/bbafc0c4/scout/1640/Cristian-Ansaldi-Scouting-Report,,,
Janis Antiste,FRA,FW,Spezia,18,2002,18,9,796,8.8,1,0,1,0,0,0,0,0.11,0.0,0.11,0.11,0.11,1.4,1.4,0.3,1.7,0.16,0.03,0.19,0.16,0.19,https://fbref.com/en/players/38d9ce53/,https://fbref.com/en/players/38d9ce53/scout/365_euro/Janis-Antiste-Scouting-Report,https://fbref.com/en/players/38d9ce53/scout/11222/Janis-Antiste-Scouting-Report,,,,,,,
Mattia Aramu,ITA,MFFW,Venezia,26,1995,32,25,2100,23.3,7,5,4,3,4,6,0,0.3,0.21,0.51,0.17,0.39,6.9,3.9,4.4,8.4,0.3,0.19,0.49,0.17,0.36,https://fbref.com/en/players/0847b5a5/,https://fbref.com/en/players/0847b5a5/scout/365_euro/Mattia-Aramu-Scouting-Report,https://fbref.com/en/players/0847b5a5/scout/11222/Mattia-Aramu-Scouting-Report,,,,,,,
Marko Arnautović,AUT,FW,Bologna,32,1989,33,32,2694,29.9,14,1,12,2,3,6,0,0.47,0.03,0.5,0.4,0.43,14.7,12.5,4.4,16.9,0.49,0.15,0.64,0.42,0.57,https://fbref.com/en/players/00459419/,https://fbref.com/en/players/00459419/scout/365_euro/Marko-Arnautovic-Scouting-Report,https://fbref.com/en/players/00459419/scout/11222/Marko-Arnautovic-Scouting-Report,https://fbref.com/en/players/00459419/scout/1889/Marko-Arnautovic-Scouting-Report,https://fbref.com/en/players/00459419/scout/1631/Marko-Arnautovic-Scouting-Report,,,,,
Tolgay Arslan,GER,MF,Udinese,30,1990,30,22,1658,18.4,1,0,1,0,0,9,0,0.05,0.0,0.05,0.05,0.05,1.2,1.2,1.7,2.9,0.07,0.09,0.16,0.07,0.16,https://fbref.com/en/players/963a328b/,https://fbref.com/en/players/963a328b/scout/365_euro/Tolgay-Arslan-Scouting-Report,https://fbref.com/en/players/963a328b/scout/11222/Tolgay-Arslan-Scouting-Report,https://fbref.com/en/players/963a328b/scout/10730/Tolgay-Arslan-Scouting-Report,,,,,,
Arthur,BRA,FW,Fiorentina,23,1998,14,8,749,8.3,2,2,2,0,0,1,0,0.24,0.24,0.48,0.24,0.48,3.7,3.7,0.3,4.0,0.45,0.03,0.48,0.45,0.48,https://fbref.com/en/players/a820e429/,https://fbref.com/en/players/a820e429/scout/365_euro/Arthur-Scouting-Report,https://fbref.com/en/players/a820e429/scout/11222/Arthur-Scouting-Report,,,,,,,
Kristoffer Askildsen,NOR,MF,Sampdoria,20,2001,19,7,754,8.4,0,0,0,0,0,5,0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.2,0.4,0.03,0.02,0.05,0.03,0.05,https://fbref.com/en/players/a69cc629/,https://fbref.com/en/players/a69cc629/scout/365_euro/Kristoffer-Askildsen-Scouting-Report,https://fbref.com/en/players/a69cc629/scout/11222/Kristoffer-Askildsen-Scouting-Report,,,,,,,
Kristjan Asllani,ALB,MF,Empoli,19,2002,23,14,1353,15.0,1,1,1,0,0,2,0,0.07,0.07,0.13,0.07,0.13,0.8,0.8,1.1,1.9,0.05,0.07,0.13,0.05,0.13,https://fbref.com/en/players/0fdcef0e/,https://fbref.com/en/players/0fdcef0e/scout/365_euro/Kristjan-Asllani-Scouting-Report,https://fbref.com/en/players/0fdcef0e/scout/11222/Kristjan-Asllani-Scouting-Report,,,,,,,
