Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls/90,Ast/90,G+A/90,G-PK/90,G+A-PK/90,xG,npxG,xA,npxG+xA,xG/90,xA/90,xG+xA/90,npxG/90,npxG+xA/90,Reference,Scouting Report 1,Scouting Report 2,Scouting Report 3,Scouting Report 4,Scouting Report 5,Scouting Report 6,Scouting Report 7
Dickson Abiama,NGA,FW,Greuther Fürth,22,1998,24,5,726,8.1,0,1,0,0,0,3,0,0.0,0.12,0.12,0.0,0.12,2.2,2.2,1.1,3.3,0.27,0.14,0.41,0.27,0.41,https://fbref.com/en/players/cadd666a/,https://fbref.com/en/players/cadd666a/scout/365_euro/Dickson-Abiama-Scouting-Report,https://fbref.com/en/players/cadd666a/scout/11193/Dickson-Abiama-Scouting-Report,,,,,
Ragnar Ache,GER,MFFW,Eint Frankfurt,23,1998,13,1,259,2.9,0,1,0,0,0,0,0,0.0,0.35,0.35,0.0,0.35,0.5,0.5,0.3,0.8,0.19,0.1,0.29,0.19,0.29,https://fbref.com/en/players/dc38e3bc/,https://fbref.com/en/players/dc38e3bc/all_comps/Ragnar-Ache-Stats---All-Competitions,https://fbref.com/en/players/dc38e3bc/dom_lg/Ragnar-Ache-Domestic-League-Stats,https://fbref.com/en/players/dc38e3bc/intl_cup/Ragnar-Ache-International-Cup-Stats,,,,
Tyler Adams,USA,MF,RB Leipzig,22,1999,24,12,1351,15.0,0,1,0,0,0,5,0,0.0,0.07,0.07,0.0,0.07,0.2,0.2,0.8,1.0,0.01,0.05,0.07,0.01,0.07,https://fbref.com/en/players/2b09d998/,https://fbref.com/en/players/2b09d998/scout/365_euro/Tyler-Adams-Scouting-Report,https://fbref.com/en/players/2b09d998/scout/11193/Tyler-Adams-Scouting-Report,https://fbref.com/en/players/2b09d998/scout/10737/Tyler-Adams-Scouting-Report,https://fbref.com/en/players/2b09d998/scout/3248/Tyler-Adams-Scouting-Report,https://fbref.com/en/players/2b09d998/scout/2109/Tyler-Adams-Scouting-Report,https://fbref.com/en/players/2b09d998/scout/1759/Tyler-Adams-Scouting-Report,
Sargis Adamyan,ARM,FWMF,Hoffenheim,28,1993,13,2,331,3.7,1,0,1,0,0,0,0,0.27,0.0,0.27,0.27,0.27,0.5,0.5,0.7,1.2,0.14,0.19,0.32,0.14,0.32,https://fbref.com/en/players/22919e97/,https://fbref.com/en/players/22919e97/scout/10737/Sargis-Adamyan-Scouting-Report,https://fbref.com/en/players/22919e97/scout/3248/Sargis-Adamyan-Scouting-Report,,,,,
Amine Adli,FRA,FWMF,Leverkusen,21,2000,25,13,1256,14.0,3,2,3,0,0,3,0,0.21,0.14,0.36,0.21,0.36,4.5,4.5,1.8,6.3,0.32,0.13,0.45,0.32,0.45,https://fbref.com/en/players/dcfb17f4/,https://fbref.com/en/players/dcfb17f4/scout/365_euro/Amine-Adli-Scouting-Report,https://fbref.com/en/players/dcfb17f4/scout/11193/Amine-Adli-Scouting-Report,,,,,
Naouirou Ahamada,FRA,MF,Stuttgart,19,2002,3,0,61,0.7,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,https://fbref.com/en/players/a6c58494/,https://fbref.com/en/players/a6c58494/all_comps/Naouirou-Ahamada-Stats---All-Competitions,https://fbref.com/en/players/a6c58494/dom_lg/Naouirou-Ahamada-Domestic-League-Stats,https://fbref.com/en/players/a6c58494/dom_cup/Naouirou-Ahamada-Domestic-Cup-Stats,,,,
Manuel Akanji,SUI,DF,Dortmund,26,1995,26,25,2261,25.1,1,0,1,0,0,3,0,0.04,0.0,0.04,0.04,0.04,1.8,1.8,0.1,2.0,0.07,0.0,0.08,0.07,0.08,https://fbref.com/en/players/89ac64a6/,https://fbref.com/en/players/89ac64a6/scout/365_euro/Manuel-Akanji-Scouting-Report,https://fbref.com/en/players/89ac64a6/scout/11193/Manuel-Akanji-Scouting-Report,https://fbref.com/en/players/89ac64a6/scout/10737/Manuel-Akanji-Scouting-Report,https://fbref.com/en/players/89ac64a6/scout/3248/Manuel-Akanji-Scouting-Report,https://fbref.com/en/players/89ac64a6/scout/2109/Manuel-Akanji-Scouting-Report,https://fbref.com/en/players/89ac64a6/scout/1634/Manuel-Akanji-Scouting-Report,
Kevin Akpoguma,NGA,DF,Hoffenheim,26,1995,26,19,1527,17.0,2,2,2,0,0,5,0,0.12,0.12,0.24,0.12,0.24,1.2,1.2,2.1,3.3,0.07,0.12,0.19,0.07,0.19,https://fbref.com/en/players/6ec6fde0/,https://fbref.com/en/players/6ec6fde0/scout/365_euro/Kevin-Akpoguma-Scouting-Report,https://fbref.com/en/players/6ec6fde0/scout/11193/Kevin-Akpoguma-Scouting-Report,https://fbref.com/en/players/6ec6fde0/scout/10737/Kevin-Akpoguma-Scouting-Report,https://fbref.com/en/players/6ec6fde0/scout/3248/Kevin-Akpoguma-Scouting-Report,https://fbref.com/en/players/6ec6fde0/scout/2109/Kevin-Akpoguma-Scouting-Report,https://fbref.com/en/players/6ec6fde0/scout/1634/Kevin-Akpoguma-Scouting-Report,
Lucas Alario,ARG,FW,Leverkusen,28,1992,27,5,655,7.3,6,0,6,0,1,2,0,0.82,0.0,0.82,0.82,0.82,6.5,5.8,1.1,6.9,0.9,0.16,1.05,0.79,0.95,https://fbref.com/en/players/834d0be5/,https://fbref.com/en/players/834d0be5/scout/365_euro/Lucas-Alario-Scouting-Report,https://fbref.com/en/players/834d0be5/scout/11193/Lucas-Alario-Scouting-Report,https://fbref.com/en/players/834d0be5/scout/10737/Lucas-Alario-Scouting-Report,https://fbref.com/en/players/834d0be5/scout/3248/Lucas-Alario-Scouting-Report,https://fbref.com/en/players/834d0be5/scout/2109/Lucas-Alario-Scouting-Report,https://fbref.com/en/players/834d0be5/scout/1634/Lucas-Alario-Scouting-Report,
Nadiem Amiri,GER,MFFW,Leverkusen,24,1996,13,3,369,4.1,1,0,1,0,0,0,0,0.24,0.0,0.24,0.24,0.24,0.5,0.5,0.2,0.6,0.11,0.05,0.16,0.11,0.16,https://fbref.com/en/players/555d5edd/,https://fbref.com/en/players/555d5edd/scout/365_euro/Nadiem-Amiri-Scouting-Report,https://fbref.com/en/players/555d5edd/scout/11222/Nadiem-Amiri-Scouting-Report,https://fbref.com/en/players/555d5edd/scout/10737/Nadiem-Amiri-Scouting-Report,https://fbref.com/en/players/555d5edd/scout/3248/Nadiem-Amiri-Scouting-Report,https://fbref.com/en/players/555d5edd/scout/2109/Nadiem-Amiri-Scouting-Report,https://fbref.com/en/players/555d5edd/scout/1634/Nadiem-Amiri-Scouting-Report,
